caption;link;year;km;color;price;price_unit;date;city;district
89;toyota avensis tertemiz acil satlik;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-avensis-tertemiz-acil-satlik-874534824/detay;2004;222000;Gümüş Gri;70000;TL;2020-10-28;İstanbul;Diğer
90;TOYOTA AVENSİS GARAJ ARABASI FULL ORJİNAL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-avensis-garaj-arabasi-full-orjinal-874530721/detay;2013;67000;Beyaz;175500;TL;2020-10-28;Bolu;Merkez
91;KOYUNCU OTOMOTİV'DEN 2013 MODEL AVENSIS 1.6 ELEGANT EXTRA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-koyuncu-otomotiv-den-2013-model-avensis-1.6-elegant-extra-874529175/detay;2013;71200;Beyaz;156000;TL;2020-10-28;Konya;Karatay
92;INTERCITY2 TOYOTA Avensis 2.0 Premium Plus Multidrive S(%18 KDV);https://www.sahibinden.com/ilan/vasita-otomobil-toyota-intercity2-toyota-avensis-2.0-premium-plus-multidrive-s-18-kdv-853208318/detay;2017;98451;Siyah;279500;TL;2020-10-26;İstanbul;Tuzla
93;ACİL HATASIZ BOYASIZ HASAR KAYITSIZ 118000 KM ORJİNAL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-acil-hatasiz-boyasiz-hasar-kayitsiz-118000-km-orjinal-854978267/detay;2010;118000;Siyah;133000;TL;2020-10-26;Ankara;Çankaya
94;SAFKAN BENZİNLİ.;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-safkan-benzinli-874078419/detay;2005;195000;Gümüş Gri;85000;TL;2020-10-26;Sakarya;Erenler
95;Temiz Kullanilmis Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-kullanilmis-avensis-874051587/detay;2013;112000;Siyah;145500;TL;2020-10-26;Sakarya;Arifiye
96;2007 Toyota Avensis 2.0 Elegant - Otomatik Vites - Sunroof;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2007-toyota-avensis-2.0-elegant-otomatik-vites-sunroof-874488563/detay;2007;207000;Siyah;99500;TL;2020-10-28;Ankara;Akyurt
97;2006 MODEL AVENSİS CONFORT PAKET;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2006-model-avensis-confort-paket-874487806/detay;2006;220000;Bej;95000;TL;2020-10-28;Sinop;Merkez
98;Degisensiz en full paket extrali;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-degisensiz-en-full-paket-extrali-874321265/detay;2006;208000;Lacivert;90000;TL;2020-10-28;Kocaeli;Gebze
99;Boyasız değişensiz;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-boyasiz-degisensiz-874028324/detay;2005;203000;Gri;102000;TL;2020-10-26;Ankara;Keçiören
100;2008 MODEL 1.6 TOYOTA AVENSIS COMFORT LPG LI ORJINAL HATASIZ FUL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2008-model-1.6-toyota-avensis-comfort-lpg-li-orjinal-hatasiz-ful-874474840/detay;2008;269000;Gümüş Gri;88000;TL;2020-10-28;Ankara;Altındağ
101;HASARSIZ TOYOTA AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hasarsiz-toyota-avensis-866956867/detay;2001;212000;Mavi;46900;TL;2020-10-26;İstanbul;Esenyurt
102;Sahibinden tertemiz;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-tertemiz-857974787/detay;2002;283000;Mavi;64000;TL;2020-10-26;Çanakkale;Lapseki
103;HATASIZ AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hatasiz-avensis-873742078/detay;2010;194000;Gri;126500;TL;2020-10-26;Şanlıurfa;Haliliye
104;2008 MODEL 320.000KM PIRIL PIRIL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2008-model-320.000km-piril-piril-873973877/detay;2008;320000;Gümüş Gri;93750;TL;2020-10-26;İstanbul;Sultanbeyli
105;SAHİBİNDEN TEMİZ,BAKIMLI AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-temiz%2Cbakimli-avensis-874404471/detay;2008;261350;Lacivert;110750;TL;2020-10-27;Düzce;Merkez
106;Öğretmenden Toyota Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ogretmenden-toyota-avensis-874398162/detay;2012;105000;Beyaz;140000;TL;2020-10-27;Denizli;Merkezefendi
107;Sahibinde acil satılık 2016 Toyota Avensis 1.6D-4D advence;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinde-acil-satilik-2016-toyota-avensis-1.6d-4d-advence-873972183/detay;2016;142867;Beyaz;185000;TL;2020-10-25;Adana;Tufanbeyli
108;MASS AUTODAN 2006 AVENSİS 2.0 D4D ELEGANT;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-mass-autodan-2006-avensis-2.0-d4d-elegant-865184377/detay;2006;247500;Siyah;79900;TL;2020-10-25;İzmir;Buca
109;SAHİBİNDEN HATASIZ BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-hatasiz-boyasiz-874396159/detay;2015;54000;Beyaz;192500;TL;2020-10-27;Ağrı;Patnos
110;Hasar Kayıtsız Toyota Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hasar-kayitsiz-toyota-avensis-873959354/detay;2005;224000;Lacivert;85000;TL;2020-10-25;Tekirdağ;Çerkezköy
111;Tertemiz, Orjinal Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tertemiz-orjinal-avensis-874378749/detay;2010;172000;Gri;155000;TL;2020-10-27;Kastamonu;Merkez
112;CS CARS ELEGANCE EXTRA DEGİSENSİZ YETKİLİ B.;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-cs-cars-elegance-extra-degisensiz-yetkili-b-853952095/detay;2011;120000;Füme;139500;TL;2020-10-25;İstanbul;Bağcılar
113;8 Senelik Sahibinden;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-8-senelik-sahibinden-874358053/detay;2006;277500;Siyah;79900;TL;2020-10-27;İstanbul;Maltepe
114;İlk Sahibinden Kazasız Boyasız Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ilk-sahibinden-kazasiz-boyasiz-avensis-873941639/detay;2012;85000;Beyaz;175000;TL;2020-10-25;Kars;Merkez
115;Temiz sorunsuz;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-sorunsuz-873941356/detay;2010;65000;Gri;146250;TL;2020-10-25;İstanbul;Ataşehir
116;makyajlı kasa takas olabilir;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-makyajli-kasa-takas-olabilir-874350972/detay;2011;150000;Beyaz;156500;TL;2020-10-27;Ankara;Etimesgut
