caption;link;year;km;color;price;price_unit;date;city;district
93;DÜŞÜK KM, BAKIMLI, HAYALET EKRANLI ADVANCE PAKET VOLVO;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-dusuk-km-bakimli-hayalet-ekranli-advance-paket-volvo-874488719/detay;2015;137;Beyaz;250000;TL;2020-10-28;Şanlıurfa;Haliliye
94;VOLVO S60 1.6D PREMIUM;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-volvo-s60-1.6d-premium-874499724/detay;2012;147467;Beyaz;150000;TL;2020-10-28;İstanbul;Sarıyer
95;2012 MODEL SATILIK İSVEÇ TANKI !!!;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2012-model-satilik-isvec-tanki-874496960/detay;2013;206000;Beyaz;147500;TL;2020-10-28;Adana;Yüreğir
96;Boya yok değişen yok 68.000 km bliss, adaptif cruise,şerit takip;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-boya-yok-degisen-yok-68.000-km-bliss-adaptif-cruise%2Cserit-takip-874393958/detay;2013;68050;Beyaz;310000;TL;2020-10-28;İstanbul;Kadıköy
97;SAHİBİNDEN ÖZEL PLAKALI S60 MAKAM ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-ozel-plakali-s60-makam-araci-872987599/detay;2015;135400;Beyaz;216500;TL;2020-10-30;İstanbul;Beşiktaş
98;volvo s60 drive;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-volvo-s60-drive-874481350/detay;2012;222000;Turuncu;147500;TL;2020-10-28;Bursa;Yıldırım
99;PAŞA MOTORS 2015 VOLVO S60 1.6D PREMİUM BOYASIZ HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-pasa-motors-2015-volvo-s60-1.6d-premium-boyasiz-hatasiz-874487066/detay;2015;148000;Siyah;235000;TL;2020-10-28;Manisa;Saruhanlı
100;Otokoç 2.El Antalya'dan Volvo S60 Advance 1.5 T3 GTR 152HP;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-otokoc-2.el-antalya-dan-volvo-s60-advance-1.5-t3-gtr-152hp-874683830/detay;2018;13691;Beyaz;390000;TL;2020-10-29;Antalya;Kepez
101;VOLVO S60, 2014 MODEL, EXTRALI, 92300 KMDE;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-volvo-s60-2014-model-extrali-92300-kmde-874900433/detay;2014;92300;Siyah;245000;TL;2020-10-30;Ankara;Çankaya
102;bundan teminizini bulmazisinz fiyat 2012 model dizel;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-bundan-teminizini-bulmazisinz-fiyat-2012-model-dizel-804730874/detay;2012;229000;Beyaz;175999;TL;2020-10-28;İstanbul;Beylikdüzü
103;Volvo S 60 1.6 D otomatik taba deri;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-volvo-s-60-1.6-d-otomatik-taba-deri-874886989/detay;2012;193000;Füme;194000;TL;2020-10-30;Manisa;Sarıgöl
